| # | Elapsed (Countdown) | Time (UTC) | UP Shares on Book (Bought) & Price | DOWN Shares on Book (Bought) & Price | Total Cost | Execution Gap | How Soon It Dried Up | Guaranteed Profit |
| 65 | T+079s (T-221s) | 22:06:19 | 80.7 sh (Bt 0.1) @ $0.13 | 12.7 sh (Bt 5.5) @ $0.83 | $0.960 (96¢) | 0ms (Instant) | Dried up in 0ms | +$0.040 (+4.2%) |
| 66 | T+079s (T-221s) | 22:06:19 | 60.0 sh (Bt 51.0) @ $0.09 | 68.0 sh (Bt 52.1) @ $0.89 | $0.978 (98¢) | 0ms (Instant) | Dried up in 0ms | +$0.022 (+2.2%) |
| 67 | T+079s (T-221s) | 22:06:19 | 110.0 sh (Bt 22.0) @ $0.12 | 12.7 sh (Bt 5.5) @ $0.83 | $0.950 (95¢) | 0ms (Instant) | Dried up in 0ms | +$0.050 (+5.3%) |
| 68 | T+079s (T-221s) | 22:06:19 | 110.1 sh (Bt 22.0) @ $0.12 | 12.7 sh (Bt 5.5) @ $0.83 | $0.953 (95¢) | 0ms (Instant) | Dried up in 0ms | +$0.047 (+4.9%) |
| 69 | T+079s (T-221s) | 22:06:19 | 110.0 sh (Bt 22.0) @ $0.11 | 12.7 sh (Bt 5.5) @ $0.83 | $0.940 (94¢) | 0ms (Instant) | Dried up in 0ms | +$0.060 (+6.4%) |
| 70 | T+079s (T-221s) | 22:06:19 | 132.0 sh (Bt 22.0) @ $0.12 | 12.7 sh (Bt 5.5) @ $0.83 | $0.947 (95¢) | 0ms (Instant) | Dried up in 0ms | +$0.053 (+5.6%) |
| 71 | T+079s (T-221s) | 22:06:19 | 88.0 sh (Bt 22.0) @ $0.11 | 12.7 sh (Bt 5.5) @ $0.83 | $0.938 (94¢) | 0ms (Instant) | Dried up in 0ms | +$0.062 (+6.6%) |
| 72 | T+079s (T-221s) | 22:06:19 | 60.0 sh (Bt 51.0) @ $0.09 | 12.7 sh (Bt 5.5) @ $0.83 | $0.920 (92¢) | 0ms (Instant) | Dried up in 0ms | +$0.080 (+8.7%) |
| 73 | T+081s (T-219s) | 22:06:21 | 19.0 sh (Bt 9.0) @ $0.15 | 413.9 sh (Bt 80.4) @ $0.85 | $0.995 (100¢) | 0ms (Instant) | Dried up in 3s | +$0.005 (+0.5%) |
| 74 | T+081s (T-219s) | 22:06:21 | 19.0 sh (Bt 9.0) @ $0.15 | 310.9 sh (Bt 40.0) @ $0.84 | $0.990 (99¢) | 1.0s (Instant) | Dried up in 3s | +$0.010 (+1.0%) |
